	23.0
astonishingly	1.0
astonishment	1.0
astounding	1.0
astride	1.0
astronomy	3.0
at	625.0
ate	4.0
atop	1.0
atta	1.0
attack	2.0
attacked	1.0
attention	7.0
attract	2.0
attractive	1.0
audience	1.0
august	1.0
aunt	65.0
auntie	2.0
avoid	1.0
await	2.0
awaiting	1.0
awaits	1.0
awake	7.0
award	4.0
awarded	3.0
awarding	1.0
away	70.0
awe	1.0
awful	1.0
awkward	1.0
awkwardly	1.0
b	1.0
babble	3.0
baby	10.0
back	261.0
backed	3.0
background	1.0
backpack	1.0
backs	3.0
backward	6.0
bacon	7.0
bad	28.0
badge	3.0
badger	1.0
badly	5.0
bag	10.0
baggy	2.0
bags	4.0
bagshot	1.0
baked	2.0
bakers	1.0
bakery	1.0
baking	1.0
balancing	1.0
bald	5.0
ball	12.0
balloon	3.0
balloons	1.0
balls	11.0
bananas	1.0
band	1.0
bandaged	1.0
bandages	1.0
bane	15.0
banell	1.0
bang	1.0
banged	2.0
banging	2.0
bangs	2.0
bank	3.0
banks	1.0
banner	3.0
banquet	4.0
bar	2.0
barbers	1.0
bare	2.0
barely	5.0
bark	1.0
barked	5.0
barking	1.0
barks	1.0
barn	2.0
baron	5.0
baronll	1.0
barons	3.0
barred	1.0
barrels	2.0
barrier	10.0
bars	3.0
bartender	4.0
baruffio	1.0
baseball	1.0
basic	1.0
basics	1.0
basket	1.0
basketball	2.0
baskets	1.0
basking	1.0
bat	4.0
bated	1.0
bath	1.0
bathilda	1.0
bathrobe	4.0
bathrobes	2.0
bathroom	5.0
bats	1.0
battered	3.0
batteredlooking	1.0
battle	3.0
batty	1.0
bawling	1.0
bbbut	1.0
bbook	1.0
bbut	1.0
bc	1.0
be	367.0
beach	1.0
beady	1.0
beadyeyed	1.0
beak	3.0
beaks	1.0
beamed	3.0
beaming	5.0
bean	3.0
beans	6.0
bear	5.0
beard	12.0
bearded	1.0
bearing	1.0
beast	2.0
beastie	1.0
beasts	3.0
beat	4.0
beater	1.0
beaters	4.0
beating	2.0
beats	1.0
beautiful	4.0
beauty	1.0
beaverskin	1.0
became	16.0
because	85.0
beckoned	1.0
become	8.0
becomes	1.0
becoming	5.0
bed	45.0
bedroom	6.0
bedrooms	1.0
beds	2.0
bedspread	1.0
bedtime	1.0
beech	1.0
beechwood	1.0
beef	2.0
beefy	1.0
been	211.0
beet	1.0
beetle	2.0
beetles	1.0
before	107.0
befuddle	1.0
beg	1.0
began	23.0
begging	1.0
begin	3.0
beginners	1.0
beginning	1.0
begins	2.0
begun	1.0
behave	1.0
behaving	3.0
behavior	1.0
behead	1.0
behind	79.0
bein	1.0
being	38.0
beings	1.0
believe	22.0
believed	5.0
believes	2.0
bell	5.0
bellowed	5.0
belong	3.0
belonged	3.0
belonging	1.0
belongs	1.0
below	6.0
belt	1.0
belting	1.0
bend	3.0
bending	1.0
bendy	1.0
beneath	6.0
bent	14.0
berserk	1.0
bertie	1.0
beside	4.0
best	33.0
bestplayed	1.0
bet	16.0
betray	1.0
better	41.0
bettie	3.0
between	22.0
beware	1.0
bewildered	3.0
bewitch	1.0
bewitched	5.0
bewitching	2.0
beyond	1.0
bezoar	3.0
biased	1.0
bicycle	1.0
bid	1.0
bidden	1.0
bidin	1.0
big	28.0
bigger	3.0
biggest	3.0
bike	5.0
bill	6.0
billowing	2.0
bills	3.0
bin	12.0
binding	2.0
binns	3.0
binoculars	7.0
bird	1.0
birdcage	1.0
birds	5.0
birdwatchers	1.0
birthday	14.0
birthdays	1.0
biscuits	2.0
bishop	3.0
bit	67.0
bite	4.0
bites	1.0
bits	5.0
bitten	3.0
bitter	1.0
bitterly	3.0
black	50.0
blackboard	1.0
blackhaired	4.0
blackness	1.0
blackpool	1.0
blacks	1.0
blaise	1.0
blame	4.0
blank	2.0
blanket	1.0
blankets	6.0
blankly	1.0
blast	2.0
blasted	1.0
blazing	2.0
bleaaargh	1.0
bless	2.0
bletchley	1.0
blew	6.0
blimey	5.0
blinded	1.0
blinding	3.0
blink	2.0
blinked	5.0
blinking	4.0
blissfully	1.0
blistering	2.0
blob	1.0
block	2.0
blocked	4.0
blocking	1.0
blocks	1.0
bloke	1.0
blond	3.0
blonde	2.0
blood	22.0
bloodcurdling	1.0
bloodiness	1.0
bloodred	1.0
bloody	9.0
blossoming	1.0
blotts	1.0
blow	3.0
blowing	2.0
blown	5.0
blubber	1.0
bludger	9.0
bludgers	13.0
blue	11.0
bluebell	1.0
blundering	1.0
blur	1.0
blurted	3.0
blushed	2.0
boa	5.0
board	6.0
boarded	1.0
boardedup	1.0
boarding	1.0
boarhound	2.0
boastful	1.0
boat	10.0
boaters	1.0
boats	7.0
bobbing	4.0
bodied	1.0
bodies	1.0
body	13.0
bodybind	2.0
bodyguards	1.0
bogies	2.0
boil	1.0
boiled	2.0
boiling	3.0
boils	3.0
bolt	4.0
bolted	3.0
bombs	1.0
bones	2.0
bonfire	1.0
bonnet	1.0
bonnets	1.0
bonus	1.0
boogerflavored	1.0
boogers	1.0
book	22.0
books	44.0
boom	2.0
boomed	1.0
booming	1.0
boot	2.0
boots	5.0
bored	3.0
boredom	1.0
boring	3.0
born	1.0
borrow	2.0
borrowed	3.0
bossy	2.0
both	32.0
bother	3.0
bothered	3.0
bothering	1.0
bottle	11.0
bottles	7.0
bottom	8.0
botts	4.0
bought	10.0
boulder	1.0
bounced	1.0
bouncing	2.0
bound	4.0
bounded	2.0
bounds	1.0
bow	1.0
bowed	9.0
bowl	4.0
bowlers	1.0
bowling	1.0
box	9.0
boxes	3.0
boy	83.0
boys	18.0
braced	1.0
brain	2.0
brains	3.0
branch	1.0
branches	8.0
brandished	1.0
brandnew	1.0
brandy	4.0
brary	1.0
brass	5.0
brave	7.0
bravely	2.0
braver	4.0
bravery	3.0
bravo	1.0
brazil	3.0
brazilian	1.0
bread	1.0
break	12.0
breakfast	11.0
breakin	3.0
breaking	8.0
breaks	1.0
breath	15.0
breathe	5.0
breathed	2.0
breathing	6.0
breathlessly	2.0
breaths	1.0
bred	1.0
breeding	2.0
breeze	2.0
breezy	1.0
brew	1.0
brick	3.0
bricks	1.0
bridge	1.0
briefcase	1.0
bright	18.0
brightly	4.0
brilliant	8.0
brilliantly	1.0
brim	1.0
bring	5.0
bringing	5.0
briskly	2.0
bristol	1.0
britain	3.0
broad	2.0
broadly	1.0
brocklehurst	1.0
broke	11.0
broken	12.0
brokendown	2.0
bronze	5.0
brooding	1.0
broom	34.0
brooms	13.0
broomshed	1.0
broomstick	27.0
broomsticks	9.0
brother	9.0
brothers	12.0
brought	18.0
brown	9.0
brushed	1.0
brushing	1.0
bubbles	2.0
buck	2.0
bucket	2.0
bucking	1.0
buckle	2.0
buckled	1.0
budge	4.0
buffalo	1.0
build	1.0
building	3.0
buildings	1.0
built	1.0
bulging	2.0
bullet	1.0
bullets	1.0
bullied	1.0
bully	1.0
bulstrode	1.0
bumped	1.0
bun	2.0
bunch	2.0
bunches	1.0
bundle	5.0
bundled	1.0
bundles	1.0
bungler	1.0
bunny	2.0
buried	3.0
burly	1.0
burn	2.0
burned	2.0
burning	3.0
burnished	1.0
burns	1.0
burnt	1.0
burst	11.0
bursting	4.0
burying	1.0
bus	1.0
bush	2.0
bushy	3.0
business	10.0
bustled	1.0
bustling	1.0
busy	11.0
but	483.0
butter	1.0
buttered	1.0
buy	12.0
buyin	1.0
buying	3.0
buzz	1.0
buzzing	1.0
by	150.0
bye	2.0
byebye	1.0
cabbage	1.0
cabbages	1.0
cabbagesmelling	1.0
cackle	1.0
cackled	2.0
cafru	1.0
cage	4.0
cake	7.0
cakes	6.0
call	19.0
called	44.0
calling	2.0
calls	2.0
calm	5.0
calming	1.0
calmly	3.0
came	75.0
camera	3.0
can	82.0
canaryyellow	1.0
canceled	1.0
candies	1.0
candlelight	1.0
candles	3.0
candy	4.0
cane	1.0
cannon	2.0
cannonball	1.0
cannot	4.0
cans	1.0
cant	63.0
cantered	1.0
cantve	1.0
cap	2.0
captain	5.0
capture	1.0
caput	1.0
car	20.0
cara	2.0
card	12.0
cards	5.0
care	8.0
cared	3.0
careful	10.0
carefully	13.0
careless	2.0
carelessly	1.0
caretaker	2.0
carousel	1.0
carpet	1.0
carpets	1.0
carriages	1.0
carried	10.0
carrots	1.0
carry	5.0
carrying	10.0
cars	2.0
cart	13.0
cartoon	1.0
carts	1.0
carved	2.0
case	12.0
cases	1.0
cast	2.0
castle	23.0
casually	4.0
cat	23.0
catcalling	1.0
catch	24.0
catches	1.0
catching	1.0
cats	7.0
caught	39.0
caughty	1.0
cauldron	18.0
cauldrons	4.0
cause	6.0
caution	2.0
ccant	1.0
cccant	1.0
ceased	1.0
ceiling	20.0
celebrate	2.0
celebrated	1.0
celebrating	5.0
celebrations	1.0
celebrity	1.0
centaur	7.0
centaurs	5.0
center	1.0
centuries	1.0
century	4.0
cept	1.0
cereal	1.0
ceremony	2.0
ceremonys	1.0
certain	1.0
certainly	8.0
chained	1.0
chains	1.0
chair	10.0
chairs	3.0
chalk	3.0
chamber	15.0
championship	4.0
chance	11.0
chances	1.0
change	9.0
changed	11.0
changin	1.0
changing	2.0
chappie	1.0
chapter	17.0
charged	1.0
charging	1.0
charlie	14.0
charlies	9.0
charm	3.0
charms	7.0
chase	1.0
chased	2.0
chaser	5.0
chasers	8.0
chasin	1.0
chasing	3.0
chat	3.0
chatter	2.0
chattering	2.0
cheap	1.0
cheating	1.0
check	2.0
checked	2.0
checking	3.0
checkmate	1.0
checkup	1.0
cheek	4.0
cheeks	1.0
cheer	8.0
cheered	3.0
cheerful	2.0
cheerfully	3.0
cheering	6.0
cheers	6.0
cheery	1.0
chess	12.0
chessboard	1.0
chessmen	8.0
chest	6.0
chestnut	1.0
chewed	1.0
chewing	1.0
chf	1.0
chicken	3.0
chickened	1.0
child	2.0
childhood	1.0
childishly	1.0
children	2.0
chilled	1.0
chilly	1.0
chimed	1.0
chimney	2.0
chip	2.0
chipolatas	1.0
chipped	2.0
chips	1.0
chivalry	1.0
chocolate	16.0
choice	4.0
choked	3.0
choking	2.0
choose	3.0
chooses	2.0
choosing	2.0
chopped	1.0
chops	2.0
chortled	2.0
chorused	1.0
chose	1.0
chosen	4.0
christmas	25.0
chucked	1.0
chuckle	1.0
chuckled	7.0
chuckling	2.0
cigarette	1.0
cinemas	1.0
circe	1.0
circled	1.0
circles	1.0
circling	2.0
circumstances	2.0
circus	1.0
city	1.0
clamber	2.0
clambered	6.0
clamped	2.0
clanged	1.0
clanging	1.0
clap	2.0
clapped	11.0
clapping	5.0
clasped	2.0
class	23.0
classes	6.0
classroom	12.0
classrooms	2.0
clattering	1.0
claw	1.0
clawed	1.0
claws	2.0
clean	7.0
cleansweep	1.0
clear	7.0
cleared	6.0
clearing	10.0
clearly	11.0
clenched	2.0
clever	3.0
cleverness	1.0
click	1.0
clicked	7.0
clicking	1.0
cliff	3.0
climb	1.0
climbed	15.0
climbing	3.0
clinging	1.0
clinking	1.0
cliodna	1.0
cloak	57.0
cloaked	1.0
cloaks	5.0
clobbered	1.0
clock	4.0
close	19.0
closed	5.0
closely	3.0
closer	11.0
closern	1.0
cloth	1.0
clothes	8.0
cloud	2.0
clouds	3.0
cloudy	2.0
clouted	1.0
club	7.0
clue	2.0
clues	2.0
clung	1.0
clutched	4.0
clutching	7.0
cmere	1.0
cmon	1.0
coals	1.0
coast	1.0
coat	11.0
coats	3.0
cobbled	1.0
cobras	1.0
cockandbull	1.0
coconut	2.0
code	1.0
codswallop	2.0
coffee	1.0
coils	1.0
coins	5.0
cokeworth	1.0
cold	25.0
colder	3.0
coldly	4.0
collapsed	5.0
collapsible	2.0
collar	1.0
collect	2.0
collected	1.0
collecting	3.0
color	3.0
colorcoding	1.0
colors	2.0
columns	1.0
comb	1.0
combination	1.0
come	95.0
comet	1.0
comets	1.0
comfort	2.0
comfortable	2.0
comforting	2.0
comin	1.0
coming	34.0
commanded	1.0
commentary	1.0
commentating	1.0
commit	1.0
committing	1.0
common	23.0
company	2.0
compared	3.0
compartment	9.0
compartments	1.0
complain	5.0
complained	5.0
complete	4.0
completely	6.0
complex	1.0
complicated	2.0
computer	6.0
concen	1.0
concentrate	3.0
concentrating	1.0
concern	2.0
concerned	2.0
concrete	1.0
conduct	1.0
conducted	1.0
conductor	1.0
confed	1.0
confessed	1.0
confiscated	1.0
confuse	1.0
confused	4.0
confusing	2.0
confusion	3.0
conjured	1.0
conk	1.0
considered	1.0
constantly	1.0
constrictor	4.0
constrictors	1.0
contact	5.0
contained	2.0
containing	1.0
contains	1.0
continue	2.0
continued	1.0
contrary	2.0
control	6.0
convention	1.0
convince	1.0
convinced	2.0
cooked	1.0
cool	3.0
coolly	3.0
copper	3.0
copy	2.0
copyin	1.0
copying	3.0
core	1.0
cork	1.0
corned	1.0
cornelius	1.0
corner	25.0
cornered	1.0
corners	1.0
cornflakes	1.0
correcting	1.0
corridor	30.0
corridors	10.0
cost	3.0
cough	1.0
coughed	2.0
could	195.0
coulda	1.0
couldn	1.0
couldnt	105.0
couldve	3.0
council	1.0
count	2.0
counted	4.0
counter	4.0
countercurse	2.0
countercurses	1.0
counting	3.0
country	4.0
countryside	3.0
couple	8.0
courage	6.0
courageous	1.0
course	49.0
courtyard	2.0
cousin	3.0
cover	3.0
covered	8.0
covers	2.0
coward	1.0
cowering	1.0
cows	1.0
cozy	2.0
crabbe	21.0
crack	6.0
cracked	2.0
cracker	1.0
crackers	2.0
cracking	2.0
crackpot	1.0
cracks	2.0
crammed	2.0
cranberry	1.0
craning	2.0
crash	10.0
crashed	4.0
crashes	1.0
crashing	2.0
crate	12.0
crawling	2.0
crazy	2.0
creak	1.0
creaked	1.0
cream	3.0
creams	2.0
create	1.0
creature	2.0
creatures	2.0
credit	1.0
creep	2.0
creepers	1.0
creeping	1.0
creeps	1.0
creepy	2.0
crept	11.0
cried	11.0
crikey	1.0
crime	2.0
cringed	1.0
crinkled	1.0
crisis	1.0
crisply	1.0
criticizing	1.0
croaked	3.0
crockford	3.0
crooked	2.0
cross	10.0
crossbow	5.0
crossed	7.0
crossly	1.0
crouched	1.0
crouching	2.0
crowd	17.0
crowded	4.0
crowds	2.0
crown	1.0
cruel	1.0
crumbling	1.0
crumpets	1.0
crumpled	3.0
crunching	4.0
crush	1.0
crushed	1.0
crutches	1.0
cry	8.0
crybabies	1.0
cryin	1.0
crying	8.0
crystal	2.0
cunning	1.0
cup	20.0
cupboard	22.0
cupll	1.0
cups	2.0
cure	1.0
cured	1.0
curious	7.0
curiously	5.0
curl	1.0
curled	3.0
curling	1.0
curly	1.0
currently	2.0
curry	1.0
curse	10.0
cursed	4.0
curses	2.0
cursing	3.0
curtain	1.0
curtains	4.0
cushion	1.0
customer	1.0
cut	8.0
cutting	1.0
dabbed	1.0
dad	15.0
daddy	1.0
daddys	1.0
dads	1.0
daily	3.0
dairy	1.0
daisies	1.0
damage	2.0
damaged	1.0
damn	1.0
damp	8.0
dampen	1.0
dancing	3.0
danger	4.0
dangerous	10.0
dangerously	1.0
dangers	1.0
dangling	3.0
dappled	1.0
dare	12.0
dared	3.0
daring	3.0
dark	59.0
darkened	1.0
darkly	6.0
darkness	7.0
darling	1.0
darted	2.0
darting	2.0
dashed	3.0
dashing	3.0
date	2.0
dates	2.0
daughter	1.0
dawn	2.0
dawned	1.0
day	59.0
daylight	5.0
days	11.0
dazed	1.0
dddark	1.0
dddont	1.0
ddefense	1.0
ddont	1.0
de	2.0
dead	24.0
deadly	2.0
deafening	3.0
deal	3.0
dealer	1.0
dean	9.0
deans	2.0
dear	20.0
dearest	1.0
dearly	1.0
dears	1.0
death	10.0
deaths	1.0
debt	1.0
decent	1.0
decide	4.0
decided	11.0
decked	1.0
declared	1.0
decoration	2.0
decorations	2.0
dedalus	4.0
deep	15.0
deeper	4.0
deepest	1.0
deeply	4.0
defeat	2.0
defeated	1.0
defend	1.0
defense	3.0
defenseless	1.0
definitely	3.0
defrosting	1.0
delayed	2.0
delicate	1.0
delicately	1.0
delicious	4.0
delight	3.0
delighted	6.0
delights	1.0
deliver	3.0
delivered	1.0
deliverin	1.0
demand	1.0
demanded	3.0
demands	1.0
dennis	1.0
dense	2.0
dentists	1.0
denying	1.0
depended	1.0
depressed	1.0
depressing	1.0
depths	2.0
deputy	1.0
describing	1.0
desert	1.0
deserted	1.0
deserved	1.0
deserves	1.0
desire	2.0
desk	6.0
desks	2.0
desktop	1.0
desperate	8.0
desperately	4.0
desserts	2.0
destined	1.0
destiny	1.0
destroyed	4.0
detention	5.0
detentions	2.0
determined	3.0
detest	1.0
developments	2.0
devils	5.0
devon	1.0
diagon	8.0
diagonally	1.0
dial	1.0
dialing	1.0
did	101.0
didn	4.0
didnt	195.0
die	13.0
died	18.0
difference	6.0
different	18.0
differentcolored	1.0
differently	1.0
differentsized	1.0
difficult	12.0
difficulty	3.0
diffrent	2.0
diggle	3.0
diggles	2.0
dimpled	1.0
din	1.0
dining	1.0
dinky	1.0
dinner	8.0
dinnertime	1.0
direct	2.0
directed	1.0
directing	1.0
direction	13.0
directions	2.0
directly	1.0
director	2.0
dirt	1.0
dirty	4.0
disagree	1.0
disappear	1.0
disappeared	17.0
disappearing	1.0
disappointed	1.0
disappointment	1.0
disapproving	1.0
disapprovingly	1.0
discover	1.0
discovered	1.0
discoveries	2.0
discovery	2.0
discuss	1.0
discussing	1.0
discussion	1.0
disgruntled	2.0
disgust	2.0
disgusted	2.0
disgusting	2.0
dish	1.0
dishes	1.0
dislike	1.0
disliked	1.0
displeased	1.0
distance	4.0
distant	4.0
distinctly	1.0
distracted	1.0
disturb	2.0
dittany	1.0
dive	5.0
divebombing	1.0
dived	6.0
diversion	1.0
dives	1.0
dividing	1.0
do	168.0
dodge	1.0
dodged	4.0
dodges	1.0
does	24.0
doesnt	10.0
dog	22.0
dogs	8.0
doi	1.0
doin	1.0
doing	34.0
dolphins	1.0
don	26.0
done	44.0
donkeys	1.0
dont	145.0
doom	1.0
door	105.0
doorbell	1.0
doorknob	2.0
doormat	3.0
doorpost	1.0
doors	16.0
doorstep	2.0
doorway	6.0
doorways	1.0
doris	3.0
dormice	1.0
dormitories	2.0
dormitory	10.0
dota	1.0
dotted	2.0
double	3.0
doubled	1.0
doubt	4.0
doubted	1.0
doughnut	1.0
doughnuts	1.0
down	180.0
downfall	1.0
downpour	1.0
downright	2.0
downstairs	4.0
downward	3.0
dozen	3.0
draco	10.0
draconis	1.0
drafts	1.0
drafty	1.0
drag	3.0
dragged	6.0
dragging	1.0
dragon	31.0
dragons	19.0
drain	1.0
drained	2.0
dramatically	1.0
dratted	1.0
draught	1.0
draw	1.0
drawback	1.0
drawing	4.0
drawl	1.0
drawling	2.0
drawn	2.0
dreading	2.0
dreadlocks	1.0
dream	10.0
dreamed	4.0
dreamily	1.0
dreams	3.0
drearns	1.0
drenched	1.0
dress	1.0
dressed	7.0
drew	9.0
dribbling	1.0
dried	2.0
drift	1.0
drifted	2.0
drifting	1.0
drills	6.0
drink	9.0
drinker	2.0
drinking	4.0
drinks	2.0
drip	1.0
dripping	1.0
drive	20.0
driven	3.0
driveway	1.0
driving	2.0
drone	1.0
droned	1.0
droobles	1.0
drooled	1.0
drooling	1.0
droop	1.0
drop	8.0
dropped	21.0
dropping	3.0
drops	3.0
drove	6.0
drowned	2.0
druidess	1.0
drummed	1.0
drumming	1.0
drunk	2.0
dry	4.0
ducked	2.0
ducking	2.0
ducks	1.0
dud	2.0
duddydums	1.0
duddys	1.0
dudley	116.0
dudleykins	1.0
dudleys	23.0
due	1.0
duel	4.0
duels	1.0
duffers	1.0
dull	2.0
dully	1.0
dumbfounded	1.0
dumbled	1.0
dumbledore	142.0
dumbledorein	1.0
dumbledorell	1.0
dumbledores	16.0
dump	1.0
dumped	1.0
dumpy	1.0
dundee	1.0
dunderhead	1.0
dunderheads	1.0
dungeon	3.0
dungeons	7.0
dunno	8.0
during	10.0
dursley	54.0
dursleys	52.0
dusk	1.0
dust	1.0
dustcolored	1.0
duster	1.0
dusty	2.0
duties	1.0
dwarf	1.0
dwell	2.0
dyeh	4.0
dyeing	1.0
dying	4.0
dyou	5.0
each	35.0
eager	3.0
eagerly	7.0
eagle	3.0
ear	10.0
earlier	3.0
early	4.0
earmuffs	1.0
earn	3.0
earned	1.0
ears	12.0
earshot	2.0
earsplitting	1.0
earth	10.0
earths	1.0
easier	3.0
easiest	1.0
easily	7.0
easter	1.0
easy	12.0
eat	10.0
eaten	4.0
eating	9.0
ebony	1.0
echoed	3.0
echoes	1.0
eclairs	1.0
edge	11.0
edged	2.0
edges	1.0
edging	1.0
eels	1.0
eerie	1.0
eeylops	2.0
effect	1.0
effort	3.0
egg	10.0
eggs	5.0
eh	13.0
ehru	1.0
eight	5.0
either	23.0
elastic	1.0
elbow	2.0
element	1.0
elephant	1.0
eleven	16.0
eleventh	1.0
elfric	1.0
elixir	5.0
else	36.0
elses	2.0
em	12.0
embarrassed	2.0
embedded	1.0
embers	1.0
emerald	3.0
emeraldgreen	3.0
emerged	1.0
emetic	2.0
emporium	2.0
emptied	4.0
emptier	1.0
empty	23.0
emptying	2.0
enchantments	5.0
enclose	1.0
enclosed	1.0
encouraging	1.0
end	48.0
ended	1.0
ending	1.0
endless	1.0
endofyear	2.0
ends	4.0
enemies	3.0
enemy	1.0
engine	3.0
england	2.0
english	1.0
engraved	1.0
engulfed	1.0
enid	1.0
enjoy	1.0
enjoying	2.0
enjoys	2.0
enormous	5.0
enough	48.0
enraged	1.0
ensnaring	1.0
enter	3.0
entered	7.0
entering	2.0
entrance	10.0
entranced	1.0
envelope	9.0
