	2.0
bliss	2.0
blisterd	1.0
blisters	1.0
blood	17.0
bloody	7.0
blow	2.0
blows	3.0
blubbering	2.0
blush	3.0
blushing	1.0
bodes	1.0
bodies	1.0
body	9.0
bodys	2.0
boisterous	1.0
bold	4.0
bon	1.0
bondage	1.0
bone	2.0
bones	8.0
book	50.0
books	1.0
booted	1.0
bore	2.0
born	3.0
borne	1.0
borrow	1.0
borrowd	2.0
bosom	7.0
bosoms	1.0
both	24.0
bottom	2.0
bought	1.0
bound	8.0
boundless	1.0
bounds	1.0
bounty	1.0
bout	1.0
bow	3.0
bowboys	1.0
bowd	1.0
bower	1.0
bowl	1.0
boxes	1.0
boy	10.0
boys	1.0
brace	1.0
braggart	1.0
brags	2.0
brain	2.0
brainbut	1.0
brains	2.0
brave	2.0
brawl	2.0
brawling	1.0
brawls	2.0
breaches	1.0
bread	1.0
break	5.0
breaks	1.0
breast	6.0
breath	14.0
breathe	1.0
breathed	2.0
breathes	1.0
breaths	1.0
bred	1.0
bridal	3.0
bride	5.0
bridegroom	4.0
brief	5.0
briefly	1.0
bright	5.0
brightness	1.0
brine	1.0
bring	11.0
bringing	1.0
brings	2.0
brisk	1.0
broad	4.0
broke	2.0
broken	1.0
brother	5.0
brotherhood	1.0
brothers	2.0
brought	1.0
brow	4.0
brows	3.0
bucklers	1.0
bud	2.0
budge	1.0
buds	1.0
bump	1.0
burden	3.0
burial	1.0
buried	4.0
burn	3.0
burneth	1.0
burning	2.0
burns	1.0
burnt	2.0
bury	3.0
burying	1.0
busied	1.0
business	3.0
busy	1.0
but	182.0
butcher	1.0
button	1.0
buttshaft	1.0
buy	3.0
by	116.0
byr	1.0
c	2.0
caetera	1.0
cage	1.0
caitiff	1.0
cakes	1.0
calamity	1.0
call	23.0
calld	1.0
called	2.0
calling	1.0
calls	10.0
calm	3.0
came	13.0
camest	2.0
can	40.0
cancelld	1.0
candleholder	1.0
candles	1.0
canker	1.0
cankerd	2.0
cannons	1.0
cannot	21.0
canopy	1.0
canst	7.0
capels	2.0
captain	1.0
capulet	141.0
capulethold	1.0
capulets	17.0
capuletwhich	1.0
care	6.0
careful	1.0
carelessly	1.0
carriage	1.0
carries	1.0
carrion	1.0
carrionflies	1.0
carry	2.0
case	9.0
cast	3.0
cat	2.0
catch	1.0
catchd	1.0
catling	1.0
cats	2.0
cause	5.0
cave	2.0
cease	3.0
cell	16.0
centre	1.0
certain	1.0
chain	1.0
challenge	2.0
chamber	10.0
chambermaids	1.0
chance	3.0
chances	1.0
change	5.0
changed	2.0
changes	1.0
chaos	1.0
chapless	1.0
charge	3.0
chariot	1.0
charm	1.0
charnelhouse	1.0
chase	1.0
chaste	1.0
chastity	1.0
chat	1.0
cheek	6.0
cheeks	6.0
cheer	2.0
cheerful	1.0
cheerly	2.0
cheers	1.0
chequering	1.0
cherish	1.0
cherishing	1.0
cheveril	1.0
chide	5.0
chidst	1.0
chiefly	1.0
child	15.0
childhood	1.0
childish	1.0
children	2.0
childrens	1.0
childs	1.0
chinks	1.0
choice	2.0
choking	1.0
choler	2.0
choose	3.0
choplogic	1.0
chorus	3.0
christian	1.0
church	9.0
churchdoor	1.0
churchyard	8.0
churl	1.0
circle	1.0
circled	1.0
circumstance	2.0
citizen	4.0
citizens	5.0
city	3.0
citys	1.0
civil	4.0
claps	1.0
clasps	1.0
clear	1.0
clears	1.0
cleft	1.0
cleopatra	1.0
climb	2.0
climbs	1.0
cloak	1.0
clock	1.0
close	6.0
closed	3.0
closely	1.0
closet	1.0
clothes	1.0
clouds	8.0
cloudy	1.0
clout	1.0
club	1.0
clubs	2.0
coachmakers	1.0
coals	1.0
cock	1.0
cockahoop	1.0
cockatrice	1.0
cockerels	1.0
coil	1.0
cold	7.0
coldly	1.0
collar	1.0
collars	1.0
colliers	1.0
combine	1.0
combined	1.0
come	97.0
comes	27.0
comest	1.0
comfort	10.0
comfortable	1.0
comforted	1.0
coming	4.0
commend	5.0
commission	1.0
common	2.0
company	6.0
compare	3.0
compass	1.0
complain	1.0
compliment	1.0
compliments	1.0
compounds	1.0
conceald	1.0
conceit	2.0
conceive	1.0
concludes	1.0
condemned	2.0
conduct	3.0
conduit	1.0
confess	3.0
confession	3.0
confessor	2.0
confidence	1.0
confines	1.0
confounds	1.0
confusions	2.0
conjurations	1.0
conjure	4.0
conjured	1.0
conquerd	1.0
consent	5.0
consents	1.0
consequence	1.0
considering	1.0
consort	3.0
consorted	1.0
consortst	1.0
conspires	1.0
constables	1.0
constrains	1.0
consume	1.0
contagion	1.0
containing	1.0
contempt	1.0
content	3.0
continuance	1.0
continue	1.0
contract	1.0
contradict	1.0
contrary	3.0
conveniently	1.0
convert	1.0
convey	1.0
convoy	1.0
cook	2.0
cooks	1.0
copest	1.0
cophetua	1.0
cordial	1.0
cords	6.0
corns	2.0
corse	7.0
cost	1.0
cotquean	1.0
couch	1.0
coughing	1.0
could	17.0
couldst	2.0
counsel	8.0
counsellor	2.0
count	4.0
counterfeit	2.0
counterfeitst	1.0
countervail	1.0
country	1.0
counts	1.0
county	16.0
countys	1.0
couple	1.0
courage	1.0
courageous	1.0
course	4.0
courtcupboard	1.0
courteous	3.0
courtesy	3.0
courtiers	2.0
courts	1.0
courtship	1.0
courtsies	1.0
courtsy	1.0
cousin	17.0
cousins	3.0
cover	2.0
coverd	1.0
covert	1.0
coward	1.0
coz	4.0
cracking	1.0
cram	1.0
crave	1.0
craves	3.0
create	1.0
creature	1.0
crickets	1.0
cried	1.0
cries	3.0
crimson	1.0
cross	2.0
crossing	1.0
crotchets	1.0
crow	3.0
crowd	1.0
crowkeeper	1.0
crownd	1.0
crows	1.0
cruel	4.0
crush	1.0
crutch	2.0
cry	4.0
crying	2.0
crystal	1.0
culld	1.0
culling	1.0
cunning	2.0
cup	3.0
cupid	3.0
cupids	2.0
cure	3.0
cures	1.0
curfewbell	1.0
curious	1.0
curse	1.0
cursed	3.0
curtain	1.0
curtains	3.0
custom	1.0
cut	4.0
cuts	1.0
cutting	1.0
cuttst	1.0
cynthias	1.0
dagger	7.0
dainty	1.0
damnation	1.0
damned	4.0
dance	5.0
danced	1.0
dancing	2.0
danger	1.0
dangerous	1.0
dank	1.0
dare	5.0
dared	1.0
dares	4.0
darest	1.0
dark	7.0
darkness	1.0
dash	1.0
dashing	1.0
date	3.0
dateless	1.0
dates	1.0
daughter	14.0
daughters	5.0
day	42.0
daylight	4.0
days	12.0
dead	47.0
deadly	3.0
deaf	2.0
deal	2.0
dealing	1.0
dear	26.0
dearer	1.0
dearest	1.0
dearloved	1.0
dearly	2.0
death	69.0
deathbed	1.0
deathdarting	1.0
deathmarkd	1.0
deaths	3.0
debt	2.0
deceased	1.0
deceit	1.0
deceived	2.0
deck	1.0
decree	1.0
decreed	1.0
dedicate	1.0
deed	1.0
deeds	1.0
deep	6.0
defence	1.0
defiance	1.0
deflowered	1.0
deformities	1.0
defy	2.0
delay	3.0
deliciousness	1.0
delight	3.0
delights	2.0
deliver	1.0
deliverd	1.0
demand	1.0
demesnes	2.0
den	3.0
denied	1.0
denote	1.0
deny	4.0
depart	4.0
departed	1.0
depend	1.0
deprived	1.0
depth	1.0
descend	2.0
descent	1.0
descry	1.0
desire	2.0
desirest	1.0
despair	2.0
desperate	10.0
despised	3.0
despite	1.0
determine	2.0
detestable	2.0
devil	3.0
devise	3.0
devotion	2.0
devout	1.0
dew	4.0
dewdropping	1.0
dexterity	1.0
dial	1.0
dians	1.0
did	40.0
dido	1.0
didst	6.0
die	23.0
died	1.0
dies	6.0
different	2.0
digging	1.0
dignified	1.0
dignity	1.0
digressing	1.0
dim	2.0
dine	1.0
dined	1.0
dinner	3.0
dire	1.0
direct	1.0
direction	1.0
direful	1.0
dirges	1.0
discern	1.0
discharged	1.0
discolourd	1.0
discords	3.0
discourses	2.0
discover	1.0
discovered	1.0
discovery	1.0
discreet	1.0
disgrace	1.0
disguised	1.0
dishclout	1.0
dishonourable	1.0
dishonourd	1.0
dislike	1.0
dismal	2.0
dismemberd	1.0
disobedient	2.0
disparagement	1.0
dispatch	1.0
disperse	1.0
displant	1.0
displeased	1.0
displeasure	1.0
dispose	1.0
disposition	2.0
dispraise	1.0
dispute	1.0
dissemblers	1.0
distance	1.0
distemperature	1.0
distemperd	1.0
distilld	1.0
distilled	1.0
distraught	1.0
distressed	1.0
disturb	2.0
disturbd	1.0
divers	1.0
divideth	1.0
divine	1.0
divinest	1.0
division	1.0
divorced	1.0
do	89.0
doctrine	1.0
doff	1.0
dog	5.0
dogs	1.0
doing	2.0
doleful	1.0
done	10.0
doom	6.0
doomsday	2.0
door	2.0
doors	2.0
dost	16.0
doth	47.0
doting	2.0
double	1.0
doublet	1.0
doubt	4.0
dove	2.0
dovefeatherd	1.0
dovehouse	2.0
doves	1.0
dowdy	1.0
down	20.0
downright	1.0
dozen	1.0
drag	1.0
dragon	1.0
dram	2.0
dramatis	1.0
drave	1.0
draw	11.0
drawer	1.0
drawing	2.0
drawn	3.0
draws	2.0
dreadful	1.0
dream	10.0
dreamd	1.0
dreamers	1.0
dreams	5.0
dreamt	2.0
dressd	1.0
drew	2.0
dried	1.0
drier	1.0
drift	2.0
drink	3.0
drinks	2.0
drivelling	1.0
driveth	1.0
driving	1.0
drizzle	1.0
drop	1.0
drops	1.0
drownd	1.0
drowsy	1.0
drudge	1.0
drugs	2.0
drum	1.0
drums	1.0
drunk	3.0
drunkard	1.0
dry	4.0
drybeat	2.0
ducats	1.0
duellist	2.0
dug	3.0
dull	2.0
dump	2.0
dumps	1.0
dun	1.0
duns	1.0
dust	1.0
dwell	3.0
dwellswhich	1.0
each	3.0
eagle	1.0
ear	7.0
earl	1.0
earliness	1.0
early	16.0
ears	10.0
earth	19.0
earthen	1.0
earthquake	1.0
earthtreading	1.0
ease	5.0
east	4.0
easter	1.0
eastern	1.0
eats	1.0
ebb	1.0
echo	1.0
een	1.0
eer	3.0
effect	2.0
effeminate	1.0
egg	2.0
eight	1.0
either	9.0
elder	1.0
eleven	2.0
elflocks	1.0
ell	1.0
eloquence	1.0
else	13.0
embrace	1.0
emperor	1.0
employment	1.0
empty	4.0
enamourd	1.0
encamp	1.0
encounter	3.0
end	9.0
endart	1.0
ended	2.0
ends	1.0
endure	2.0
endured	1.0
enemies	2.0
enemy	6.0
enforce	1.0
engrossing	1.0
enjoind	1.0
enjoyd	1.0
enmity	2.0
enough	8.0
enpierced	1.0
enrich	1.0
ensign	1.0
enter	74.0
enters	2.0
entertaind	1.0
entrance	2.0
entreat	2.0
entreated	1.0
envious	6.0
environed	1.0
ere	20.0
errand	1.0
escalus	1.0
estate	1.0
esteem	1.0
et	1.0
eternal	1.0
ethiopes	1.0
even	12.0
evening	1.0
ever	12.0
everlasting	2.0
evermore	2.0
every	12.0
examine	2.0
excellent	2.0
excels	2.0
excess	1.0
exchange	3.0
excuse	5.0
excused	1.0
excuses	1.0
execution	1.0
exeunt	30.0
exhales	1.0
exile	6.0
exiled	1.0
exit	31.0
expectst	1.0
expire	1.0
exposition	1.0
expressly	1.0
exquisite	1.0
extreme	1.0
extremes	1.0
extremities	1.0
extremity	1.0
eye	18.0
eyeless	1.0
eyes	28.0
eyesight	2.0
fa	2.0
face	22.0
fade	1.0
fail	2.0
fails	1.0
fain	5.0
faint	3.0
faintly	1.0
fair	43.0
fairer	2.0
fairest	1.0
fairies	2.0
fairly	2.0
faith	18.0
faithful	3.0
faithfully	1.0
falconers	1.0
fall	14.0
falln	1.0
falls	6.0
fallst	1.0
false	2.0
falsehood	1.0
familiar	1.0
famine	1.0
fan	2.0
fans	1.0
fantasticoes	1.0
fantasy	1.0
far	6.0
fares	1.0
farewell	21.0
farthest	1.0
fashionmongers	1.0
fast	3.0
faster	1.0
fatal	4.0
fate	1.0
father	22.0
fathers	4.0
fault	4.0
favour	2.0
fay	1.0
fear	15.0
fearful	7.0
fearfully	1.0
fears	1.0
fearst	1.0
feast	6.0
feasting	2.0
feather	1.0
feathers	1.0
feel	7.0
feeling	2.0
fees	1.0
feesimple	2.0
feet	1.0
feign	1.0
fell	1.0
fellow	5.0
fellows	2.0
fellowship	1.0
felon	1.0
felt	2.0
female	1.0
festering	1.0
festival	2.0
fetch	7.0
fettle	1.0
fickle	3.0
fiddlestick	1.0
fie	6.0
field	2.0
fieldbed	1.0
fiend	3.0
fierce	1.0
fiery	2.0
fieryfooted	1.0
fight	6.0
fighting	1.0
fights	2.0
figure	1.0
film	1.0
find	24.0
finding	1.0
finds	2.0
fine	5.0
finger	2.0
fingers	5.0
fire	6.0
fired	1.0
fireeyed	1.0
fires	1.0
first	37.0
fish	2.0
fisher	1.0
fishes	1.0
fishified	1.0
fit	2.0
fits	1.0
five	5.0
fivefathom	1.0
flag	1.0
flask	1.0
flattering	1.0
flatteringsweet	1.0
flecked	1.0
fled	2.0
fleer	1.0
flesh	7.0
flies	3.0
flint	1.0
flirtgills	1.0
flood	1.0
flourishes	1.0
flow	1.0
flowed	1.0
flower	10.0
flowered	1.0
flowering	1.0
flowers	6.0
fly	4.0
foe	5.0
foes	2.0
folks	1.0
follow	7.0
followd	1.0
follower	1.0
followers	1.0
following	1.0
follows	1.0
fond	3.0
food	3.0
fool	6.0
foolish	2.0
fools	3.0
foot	9.0
for	223.0
forbear	2.0
forbid	2.0
forbidden	1.0
force	1.0
forefathers	1.0
forefinger	1.0
forehead	1.0
foreign	1.0
forerun	1.0
forfeit	2.0
forget	9.0
forgetting	1.0
forgive	2.0
forgot	2.0
form	5.0
forms	1.0
forsaken	1.0
forsooth	1.0
forswear	1.0
forsworn	4.0
forth	12.0
fortnight	1.0
fortune	7.0
fortunes	3.0
forty	2.0
forward	2.0
fought	4.0
foul	4.0
found	6.0
foundst	1.0
fountains	1.0
four	2.0
fourteen	6.0
francis	2.0
franciscan	1.0
franciscans	1.0
frank	1.0
fray	5.0
free	2.0
freetown	1.0
freezes	1.0
french	2.0
fresh	2.0
friar	99.0
friars	1.0
friend	15.0
friendly	1.0
friends	5.0
friendship	1.0
fright	1.0
frighted	1.0
from	86.0
frost	1.0
frown	2.0
frowning	1.0
frowns	1.0
frozen	1.0
fruit	1.0
fruittree	1.0
full	10.0
fume	1.0
fun	1.0
funeral	1.0
furious	1.0
furnish	1.0
further	5.0
furthest	1.0
fury	3.0
gadding	1.0
gainst	1.0
gall	2.0
gallant	2.0
gallop	1.0
gallops	2.0
game	1.0
gapes	1.0
garish	1.0
gate	1.0
gave	4.0
gavest	1.0
gaze	3.0
gear	2.0
general	2.0
gentle	12.0
gentleman	14.0
gentlemanlike	1.0
gentlemen	10.0
gentler	1.0
gentlewoman	4.0
get	13.0
ghost	1.0
ghostly	4.0
gi	1.0
giddy	1.0
gipsy	1.0
girl	6.0
girls	1.0
give	47.0
gives	5.0
giving	3.0
glad	2.0
gladly	2.0
gleek	1.0
glide	1.0
glooming	1.0
glorious	1.0
glory	1.0
glove	1.0
gnat	1.0
go	76.0
god	28.0
godden	2.0
gods	3.0
goes	3.0
goeth	1.0
going	4.0
gold	5.0
golden	4.0
gone	31.0
gonetis	2.0
good	83.0
goodfellows	1.0
goodly	1.0
goodman	1.0
goose	6.0
goreblood	1.0
gorged	1.0
gorgeous	1.0
gory	1.0
gossamer	1.0
gossip	1.0
gossips	2.0
got	3.0
government	1.0
gown	1.0
grace	5.0
gracious	1.0
grandsire	2.0
grant	2.0
grasshoppers	1.0
grave	17.0
graves	2.0
gravity	1.0
graze	1.0
great	9.0
greater	1.0
greatest	1.0
green	4.0
greensickness	1.0
greeting	2.0
greetings	1.0
gregory	20.0
grey	2.0
greycoated	1.0
greyeyed	1.0
grief	13.0
griefs	3.0
grievance	1.0
grievances	1.0
grieve	1.0
grindstone	1.0
griping	1.0
groan	2.0
groand	1.0
groaning	1.0
groans	2.0
gross	1.0
ground	9.0
grove	1.0
grow	2.0
grown	3.0
grows	2.0
grub	1.0
grubs	1.0
grudge	1.0
guards	1.0
guest	2.0
guests	4.0
guide	1.0
guilty	2.0
gun	1.0
gyves	1.0
ha	6.0
had	20.0
hadst	6.0
hag	1.0
hai	1.0
hair	4.0
hairs	1.0
half	4.0
hall	5.0
hams	1.0
hand	25.0
hands	13.0
handsome	1.0
hang	5.0
hanged	1.0
hanging	1.0
hangs	2.0
hap	2.0
haply	1.0
happily	2.0
happiness	2.0
happy	12.0
hard	3.0
hardhearted	1.0
hare	5.0
hark	4.0
harlotry	1.0
harlots	1.0
harsh	1.0
hast	28.0
haste	14.0
hasten	1.0
hastes	1.0
hasty	1.0
hate	13.0
hated	1.0
hateful	4.0
hates	1.0
hath	63.0
hatred	1.0
haughty	1.0
haunt	1.0
have	127.0
having	8.0
haviuor	1.0
hazel	1.0
hazelnut	1.0
he	123.0
head	14.0
heads	6.0
headstrong	1.0
health	1.0
healths	1.0
healthsome	1.0
heapd	1.0
hear	22.0
heard	2.0
heareth	1.0
hearing	2.0
hearst	3.0
heart	26.0
heartless	1.0
hearts	10.0
heartsick	1.0
heat	1.0
heaven	28.0
heavenly	1.0
heavens	4.0
heaviness	2.0
heavy	10.0
heed	2.0
heel	2.0
heels	1.0
heir	5.0
held	2.0
helen	1.0
helena	1.0
hell	7.0
help	18.0
helps	2.0
hence	26.0
hencebanished	1.0
henceforth	2.0
henceforward	2.0
her	152.0
herald	1.0
heralds	1.0
herbs	2.0
here	79.0
hereabout	1.0
hereabouts	1.0
hereafter	2.0
heres	9.0
heretics	1.0
hero	1.0
herring	1.0
hers	4.0
herself	6.0
hes	11.0
hid	3.0
hide	8.0
hideous	1.0
hie	8.0
high	8.0
highmost	1.0
highway	1.0
hilding	1.0
hildings	1.0
hill	1.0
hills	1.0
him	96.0
himdead	1.0
himself	9.0
himselfi	1.0
hinds	1.0
hire	3.0
his	132.0
hisown	1.0
hissd	1.0
hist	2.0
hit	7.0
hither	12.0
ho	13.0
hoar	4.0
hoars	1.0
hoarse	2.0
hold	16.0
holding	1.0
hole	1.0
holidame	1.0
holiday	1.0
hollow	3.0
holp	1.0
holy	21.0
home	6.0
homely	1.0
honest	7.0
honestly	1.0
honesty	1.0
honey	3.0
honour	5.0
honourable	5.0
hood	3.0
hoodwinkd	1.0
hooks	1.0
hop	1.0
hope	4.0
hopeful	1.0
hopes	1.0
horrible	1.0
horses	2.0
hot	7.0
hour	17.0
hours	8.0
house	27.0
households	2.0
houses	7.0
housewife	1.0
how	58.0
howlings	1.0
huge	1.0
hugh	1.0
humbly	1.0
humorous	1.0
humour	3.0
humours	1.0
hundred	3.0
hung	1.0
hungry	1.0
hunting	1.0
huntsup	1.0
hurdle	1.0
hurry	1.0
hurt	6.0
husband	13.0
husbandgod	1.0
hymns	1.0
i	589.0
idle	1.0
idles	1.0
idolatry	1.0
if	82.0
ignorance	1.0
ii	15.0
iii	58.0
ill	84.0
illbeseeming	2.0
illdivining	1.0
illshaped	1.0
imagined	1.0
immediately	2.0
immoderately	1.0
immortal	3.0
impatient	1.0
impeach	1.0
import	2.0
importuned	1.0
impute	1.0
in	323.0
inauspicious	1.0
inch	1.0
inconstant	3.0
incorporate	1.0
indeed	9.0
indite	1.0
inexorable	1.0
infant	1.0
infection	2.0
infectious	1.0
infinite	1.0
infold	1.0
inherit	1.0
injured	1.0
injuries	1.0
ink	1.0
inquire	2.0
instant	1.0
instruments	2.0
intend	1.0
intended	1.0
intents	4.0
intercession	1.0
interchanging	1.0
interest	1.0
interrd	1.0
interrupt	1.0
into	9.0
intrusion	1.0
inundation	1.0
invite	1.0
invited	1.0
invocation	1.0
iron	4.0
is	345.0
issue	1.0
issuing	1.0
ist	5.0
it	226.0
italy	1.0
itch	1.0
ithere	1.0
its	1.0
itself	6.0
iv	12.0
iwell	1.0
ix	43.0
jack	2.0
jacks	1.0
james	1.0
jaunt	1.0
jaunting	1.0
jaws	1.0
jealous	3.0
jest	6.0
jests	1.0
jesu	3.0
jewel	1.0
jocund	1.0
john	10.0
join	1.0
joind	1.0
joiner	1.0
joint	2.0
joints	3.0
jointstools	1.0
jointure	1.0
jour	1.0
journey	1.0
jove	1.0
joy	14.0
joyful	5.0
joys	2.0
judgement	2.0
judgementplace	1.0
jule	3.0
juliet	220.0
juliets	7.0
just	2.0
justice	1.0
justly	1.0
keep	16.0
keepers	1.0
keeps	4.0
kept	1.0
keys	1.0
kill	10.0
killd	7.0
killing	1.0
kin	1.0
kind	6.0
kindly	1.0
kindred	1.0
kindreds	2.0
king	2.0
kings	1.0
kinsman	13.0
kinsmans	1.0
kinsmen	4.0
kiss	10.0
kisses	4.0
kitchenwench	1.0
knave	4.0
knaves	1.0
knees	3.0
knew	3.0
knife	4.0
knight	2.0
knit	1.0
knock	3.0
knocking	4.0
knocks	2.0
knot	1.0
know	35.0
known	4.0
knows	3.0
knowst	5.0
l	1.0
label	1.0
labour	1.0
lace	1.0
lacks	1.0
ladder	1.0
ladies	5.0
lady	109.0
ladylord	1.0
ladys	8.0
ladyship	1.0
laid	5.0
lain	3.0
lamb	4.0
lame	1.0
lament	1.0
lamentable	5.0
lamentation	1.0
lamentations	1.0
lammaseve	2.0
lammastide	1.0
lamp	1.0
lamps	1.0
lane	1.0
language	1.0
languish	1.0
lantern	2.0
lap	1.0
large	1.0
lark	6.0
lash	1.0
last	8.0
lasting	1.0
late	11.0
lately	1.0
lath	1.0
laugh	3.0
laughs	1.0
laura	1.0
laurence	68.0
laurencecell	1.0
laurences	9.0
law	11.0
lawyers	1.0
lay	11.0
laying	2.0
lazy	1.0
lazypacing	1.0
lead	6.0
lean	1.0
leans	1.0
leap	2.0
leapd	1.0
leaps	1.0
learn	3.0
learnd	2.0
learned	2.0
learning	1.0
learns	1.0
least	1.0
leave	13.0
leaves	2.0
leaving	1.0
left	4.0
leg	2.0
legs	2.0
leisure	2.0
lend	1.0
lends	3.0
lengthens	1.0
lenity	1.0
lent	4.0
lenten	1.0
less	6.0
lessend	1.0
lesser	1.0
lest	4.0
let	45.0
lets	7.0
letter	12.0
letterand	1.0
letters	6.0
letting	1.0
level	1.0
liars	1.0
liberty	3.0
lick	3.0
lie	22.0
lief	1.0
liege	1.0
lies	19.0
liest	1.0
life	21.0
lifeweary	1.0
lifts	1.0
light	28.0
