	747.0
1200yearold	1.0
120125	1.0
120177	1.0
1203	1.0
1206	2.0
1207	1.0
120ft	1.0
120km	1.0
121	10.0
1212	1.0
1213	2.0
1214	2.0
122	11.0
1220	2.0
122003	2.0
1222	1.0
1225	1.0
122804	2.0
122a	1.0
122hectare	1.0
123	11.0
123000	1.0
12301298	2.0
1230pm	2.0
1232	1.0
12333	1.0
1236	1.0
1239	1.0
124	15.0
1241969	2.0
1243	1.0
12436	1.0
12464	1.0
1247	1.0
1248	4.0
124967	1.0
125	23.0
1250	2.0
12500	4.0
125000	1.0
1253	1.0
1258	1.0
125ft	1.0
126	14.0
1260	2.0
1262	1.0
1264	1.0
127	11.0
1270	1.0
1274	1.0
1277	1.0
127740	1.0
127a	1.0
128	9.0
1280	1.0
1282	1.0
1286	1.0
129	7.0
1290000	1.0
1291	1.0
1296	1.0
12961316	1.0
12972	1.0
12acquiring	1.0
12acre	1.0
12and	1.0
12bar	2.0
12cbos	1.0
12comparison	1.0
12hour	1.0
12in	1.0
12m	1.0
12mile	2.0
12myristate	1.0
12nipa	1.0
12pointed	1.0
12sided	1.0
12story	1.0
12textbooks	1.0
12th	26.0
12thcentury	17.0
12yearold	5.0
12yearolds	2.0
13	246.0
130	20.0
1300	8.0
13000	5.0
130000	1.0
1300s	1.0
130530pm	1.0
1309	2.0
13099	1.0
130acre	1.0
130km	1.0
131	7.0
13125	1.0
13129	1.0
1314	3.0
1315	1.0
132	8.0
132001	1.0
132002	1.0
132004	1.0
1321	1.0
13224dec	1.0
133	4.0
13328	1.0
1333	3.0
134	8.0
13450	1.0
13454	1.0
1346	3.0
135	8.0
1350000	2.0
1356	1.0
13595	1.0
136	4.0
1360	1.0
1361	1.0
136137	1.0
1368	2.0
13683item	1.0
137	4.0
1370	2.0
137341	1.0
1377	4.0
1379	2.0
138	5.0
1380	1.0
1381	1.0
1384	1.0
1385	1.0
13850	1.0
139	4.0
1390	1.0
1396	4.0
1398	1.0
1399	1.0
13acetate	1.0
13although	1.0
13family	1.0
13for	1.0
13m	2.0
13mile	1.0
13residue	1.0
13see	1.0
13th	26.0
13thcentury	27.0
13the	1.0
13this	1.0
13ton	1.0
13under	1.0
13year	1.0
14	226.0
140	4.0
1400	11.0
14000	2.0
140000	3.0
1401	1.0
1409	2.0
140mile	1.0
141	7.0
1411	2.0
14139	1.0
1415	6.0
1415th	1.0
141999	1.0
142	6.0
142150	1.0
1429	1.0
143	5.0
1430	1.0
1431	2.0
1435	1.0
144	5.0
1440	1.0
1442	2.0
1445	1.0
14461459	1.0
1447	1.0
144mb	1.0
145	8.0
1450	2.0
14501516	1.0
1450s	1.0
1453	2.0
1456	2.0
1457	1.0
146	3.0
1460	1.0
14601488	1.0
14618	1.0
1462	1.0
1464	1.0
1467	2.0
1469	1.0
147	3.0
147210	1.0
1474	1.0
1474265any	1.0
1476	1.0
1477	1.0
148	6.0
1480	2.0
1480acre	1.0
148181	3.0
14831520	1.0
1485	1.0
1487	3.0
1488	2.0
1489	1.0
149	4.0
1490	1.0
14901576	1.0
1492	4.0
1493	2.0
1494	1.0
1497	3.0
1498	2.0
14budget	1.0
14examples	1.0
14inchwide	1.0
14milka	1.0
14monthold	1.0
14people	1.0
14rather	1.0
14raymond	1.0
14share	1.0
14th	22.0
14thcentury	26.0
14yearold	1.0
14yearolds	1.0
15	304.0
150	31.0
1500	14.0
15000	13.0
150000	3.0
1500s	1.0
1501	2.0
1502	1.0
1502c	1.0
1503	2.0
1504	1.0
1505ggg	1.0
1507	1.0
1509	2.0
150kg	1.0
150m	1.0
150year	1.0
151	6.0
1512	2.0
151200	1.0
1513	1.0
15131514	1.0
1515	1.0
151547	1.0
1516	4.0
15181594	1.0
1519	2.0
151993	1.0
151m	1.0
152	4.0
1520	5.0
15200	1.0
152000	2.0
1521	2.0
1522	3.0
1525	2.0
1526	1.0
1527	2.0
1528	2.0
1529	2.0
153	6.0
1531	1.0
1532	1.0
1534	3.0
1535	4.0
1539	1.0
154	4.0
1540	1.0
15411614	1.0
1541265any280350302	1.0
154158	1.0
1542	2.0
1543	1.0
1544	1.0
1545	1.0
1547	1.0
1548	1.0
1549	2.0
1549yearolds	1.0
154ft	1.0
155	10.0
1550	1.0
15511589	2.0
1553	2.0
1553b	2.0
1554	1.0
1555	1.0
15561605	1.0
1557	1.0
1558	2.0
1559	4.0
156	7.0
1560foot	1.0
1560s	1.0
1561	1.0
1562	4.0
1565	1.0
1566	3.0
15661	1.0
1568	2.0
157	3.0
1570	3.0
1570s	1.0
1571	1.0
157173	1.0
1572	3.0
1575	1.0
1576	1.0
1577	1.0
15770	1.0
15771640	1.0
1578	1.0
1579	2.0
158	8.0
1581	1.0
1582	2.0
1584	1.0
1585	1.0
158711	1.0
1588	1.0
1589	1.0
15891610	1.0
159	3.0
1591	1.0
15911652	1.0
1592	1.0
1594	2.0
15965	1.0
1597	2.0
1598	4.0
15981664	1.0
15991660	1.0
15c	1.0
15cm	1.0
15donald	1.0
15fold	10.0
15for	2.0
15minute	2.0
15ounce	1.0
15pensions	1.0
15percent	1.0
15puzzle	1.0
15saudi	1.0
15th	19.0
15thcentury	20.0
15these	1.0
15whether	1.0
15year	1.0
16	244.0
160	8.0
1600	5.0
16000	1.0
1600s	3.0
1601	1.0
1602	1.0
1603	2.0
1604	1.0
1605	2.0
1606	2.0
1607	3.0
1608	2.0
1608two	1.0
161	8.0
1610	4.0
1611	1.0
1612	1.0
161279	1.0
1614	1.0
1615	1.0
1616	1.0
1617	13.0
16171682	1.0
1619	2.0
16191877	1.0
161999	1.0
162	4.0
1620	4.0
1621	1.0
1622	2.0
1623	1.0
1624	2.0
16241642	1.0
1625	4.0
1627	1.0
16271680	1.0
162cm	2.0
162yearold	1.0
163	3.0
1630	1.0
1631	3.0
1632	1.0
16321675	1.0
1633	2.0
1634	1.0
1635	6.0
1636	2.0
1637	2.0
16379	1.0
16379265any280350cg	1.0
1638	2.0
1639	6.0
164	13.0
1640	3.0
1641	1.0
1642	2.0
1646	1.0
1649	1.0
165	5.0
1650	3.0
1650s	3.0
1651	1.0
1652	1.0
1655	1.0
1656	2.0
16581707	1.0
16597	1.0
165970	1.0
166	5.0
1660	5.0
166000	1.0
1660s	1.0
1661	4.0
16624	1.0
1663	1.0
1665	1.0
1666	2.0
1668	2.0
1669	3.0
167	5.0
1670	4.0
1670s	1.0
1672	4.0
1675	2.0
1676	1.0
1678	1.0
1679	1.0
168	3.0
1680	2.0
1680s	3.0
1681	2.0
168170	1.0
1682	1.0
1685	2.0
1686	3.0
1688	2.0
1689	1.0
169	3.0
1690	2.0
1691	1.0
1692	2.0
1694	3.0
1696	1.0
1698	1.0
1699	2.0
16aged	1.0
16an	1.0
16for	1.0
16giovanni	1.0
16hour	2.0
16martin	1.0
16mile	1.0
16th	47.0
16thcentury	43.0
17	185.0
170	7.0
1700	4.0
17000	2.0
17001713	1.0
1700s	1.0
1704	3.0
170430	2.0
1705	1.0
1707	3.0
171	5.0
1710	2.0
1711	2.0
1713	4.0
1714	1.0
1715	3.0
1717	2.0
1718	3.0
1719	4.0
172	4.0
1720	1.0
172001	2.0
172002	1.0
172003	1.0
1720s	1.0
1721	1.0
1722	3.0
1723	1.0
1724	1.0
1725	2.0
1727	1.0
17271807	1.0
1729	1.0
173	7.0
173000	1.0
1734	1.0
1735	1.0
1736	2.0
1737	2.0
1739	1.0
173mile	1.0
174	3.0
1740	2.0
1741	1.0
1742	1.0
1744	3.0
1745	1.0
1746	1.0
17461828	1.0
1747	1.0
1748	2.0
1749	2.0
17495	1.0
175	12.0
1750	3.0
1750s	1.0
1752	2.0
175228	1.0
1753	1.0
1755	1.0
1756	2.0
17575	3.0
1758	1.0
1759	6.0
176	4.0
1760	3.0
1761500	1.0
1762	1.0
1763	3.0
1764	2.0
1766	1.0
1767	2.0
1768	2.0
1769	4.0
177	4.0
1770	4.0
1772	3.0
1773	3.0
1774	1.0
1775	8.0
1775a	1.0
1776	3.0
1778	2.0
1779	1.0
178	6.0
1780s	2.0
1781	4.0
1782	2.0
1783	5.0
1784	1.0
1785	4.0
1786	5.0
1787	4.0
17871865	1.0
1788	4.0
17881866	2.0
1789	16.0
17893	1.0
179	3.0
1790	2.0
1790s	1.0
1791	4.0
1792	6.0
1793	10.0
1794	1.0
1795	3.0
1796	4.0
17965	1.0
1797	2.0
17971855	3.0
1798	1.0
17985	1.0
1799	2.0
17c	1.0
17however	1.0
17meanstested	1.0
17mile	1.0
17oct	2.0
17relatively	1.0
17see	1.0
17th	40.0
17thcentury	46.0
17the	1.0
18	219.0
180	7.0
1800	3.0
18000	2.0
18004245454	1.0
1800s	3.0
1801	1.0
18021895	1.0
1803	2.0
18031868	1.0
1804	5.0
18041865	1.0
1805	8.0
1806	1.0
1807	1.0
1808	3.0
1809	3.0
180c	1.0
180mile	1.0
181	7.0
1810	2.0
18101871	1.0
1811	1.0
1812	11.0
181224	3.0
1813	1.0
1814	2.0
1815	3.0
18151872	1.0
1816	1.0
1817	3.0
18171870	1.0
181740	1.0
1818	3.0
1819	3.0
182	4.0
1820	3.0
182001	1.0
182002	3.0
1820s	7.0
1821	2.0
1822	7.0
1823	2.0
1824	3.0
18241904	2.0
1825	1.0
1826	3.0
182647	1.0
1827	1.0
1829	1.0
183	12.0
1830	7.0
1830s	3.0
1831	2.0
1832	6.0
1833	1.0
18331897	4.0
1834	1.0
1835	1.0
1836	5.0
1837	5.0
1838	3.0
1839	3.0
184	5.0
1840	5.0
1840s	2.0
1841	5.0
18411929	4.0
1842	3.0
18431928	4.0
1844	8.0
184471	1.0
1845	7.0
184572	4.0
1846	4.0
18461848	2.0
184647	4.0
1847	3.0
1848	10.0
184899	4.0
1849	2.0
184991	4.0
185	4.0
1850	10.0
18501927	1.0
1850s	6.0
1851	3.0
18511938	4.0
1852	5.0
1853	8.0
1854	10.0
18540	1.0
185479	4.0
1855	2.0
1856	1.0
185645	1.0
1857	8.0
1858	8.0
1859	9.0
185km	2.0
186	5.0
1860	3.0
1860s	8.0
1861	3.0
186191	1.0
1862	2.0
1863	8.0
18631923	1.0
18631951	1.0
1864	5.0
1865	6.0
18651924	1.0
1866	1.0
1867	7.0
1868	4.0
1869	4.0
18695	1.0
187	6.0
1870	6.0
1870s	7.0
1871	11.0
18711945	1.0
1872	3.0
1873	5.0
1874	6.0
1875	7.0
18751965	1.0
1876	9.0
1877	5.0
18771886	1.0
18771889	1.0
1878	2.0
1879	5.0
18791964	1.0
188	6.0
1880	5.0
18801887	1.0
1880s	11.0
1881	1.0
1882	4.0
1883	4.0
1884	2.0
1885	13.0
1886	8.0
1887	7.0
1888	6.0
1889	10.0
189	4.0
1890	10.0
1890s	2.0
1891	1.0
18911896	2.0
1892	4.0
1893	2.0
1894	3.0
1895	8.0
1896	4.0
1897	11.0
1898	6.0
1899	4.0
18employersponsored	1.0
18hole	3.0
18how	1.0
18longterm	1.0
18mile	2.0
18social	1.0
18story	1.0
18th	46.0
18thc	1.0
18thcentury	61.0
18weapons	1.0
19	173.0
190	7.0
1900	11.0
1900s	4.0
1901	3.0
1902	1.0
1903	6.0
1904	5.0
19041905	1.0
1905	5.0
19051960	2.0
1906	6.0
1907	1.0
1908	3.0
1909	4.0
190km	1.0
191	3.0
1910	11.0
19106	1.0
1911	5.0
1912	12.0
1913	5.0
1914	7.0
1915	5.0
1916	2.0
1917	10.0
1918	2.0
1919	8.0
1919so	1.0
192	6.0
1920	12.0
192001	1.0
192003	1.0
192004	1.0
1920s	29.0
1921	2.0
1922	2.0
1923	6.0
1924	2.0
1925	1.0
192594	2.0
1926	6.0
1927	13.0
1928	13.0
1929	9.0
192995	2.0
193	3.0
1930	8.0
1930s	27.0
1931	8.0
1932	13.0
1933	7.0
1934	8.0
1935	8.0
1936	11.0
1937	16.0
193738	1.0
1938	12.0
1939	4.0
194	3.0
1940	11.0
1940s	9.0
1941	10.0
19411945	1.0
1942	9.0
1943	3.0
1944	14.0
1945	9.0
19451958	2.0
1946	6.0
1947	15.0
1948	10.0
1949	8.0
195	3.0
1950	13.0
1950s	23.0
1950sthe	1.0
1951	7.0
195197	1.0
1952	8.0
1953	16.0
1954	6.0
1955	5.0
1956	9.0
1957	10.0
1958	6.0
1959	7.0
196	3.0
1960	24.0
19601969	1.0
19601997	1.0
19602000	8.0
19602075	6.0
1960s	48.0
1960s20	1.0
1960s9	1.0
1960san	1.0
1961	15.0
1962	9.0
1963	17.0
1964	26.0
1965	15.0
19651970	1.0
1965about	1.0
1966	11.0
196681	1.0
1967	12.0
1968	14.0
196870	1.0
1968and	1.0
1969	23.0
19691970	2.0
196979	2.0
197	8.0
1970	28.0
197018	1.0
19701978	2.0
19701979	1.0
1970s	49.0
1970s14	1.0
1970s78	1.0
1971	11.0
1972	14.0
197274	1.0
1973	14.0
197316	1.0
197344	2.0
1974	26.0
1975	22.0
1976	15.0
1977	17.0
19771999	2.0
197795	1.0
1978	12.0
197883	1.0
1979	12.0
198	3.0
1980	27.0
19801989	1.0
1980a	1.0
1980s	55.0
1980s28	1.0
1980shave	1.0
1981	19.0
19812003	1.0
1982	20.0
1982122	1.0
1983	20.0
1983a	1.0
1984	23.0
1984a	2.0
1985	29.0
1985b	1.0
1985c	1.0
1985d	1.0
1985e	1.0
1986	32.0
1986a	1.0
1986b	1.0
1986c	1.0
1986d	1.0
1986e	1.0
1987	49.0
198790	11.0
1987a	2.0
1987b	1.0
1987c	1.0
1987e	1.0
1987f	1.0
1987g	1.0
1988	44.0
19881992	1.0
198823	1.0
1988a	1.0
1989	13.0
199	4.0
1990	75.0
199013	2.0
19901997	1.0
19901999	1.0
19902000	1.0
19902075	1.0
199093	11.0
199097	1.0
1990a	1.0
1990s	59.0
1990s24	1.0
1990sa	1.0
1990sand	2.0
1990swas	1.0
1991	45.0
1991a	1.0
1991b	1.0
1992	49.0
19921996	1.0
1993	53.0
199314	1.0
199397	13.0
1993a	1.0
1993b	5.0
1994	46.0
199495	1.0
1995	104.0
199510	1.0
199520	1.0
19952007	1.0
19958	1.0
19959	1.0
1995all	2.0
1996	90.0
199614	1.0
19961997	2.0
199627	2.0
1997	134.0
1997nhhtonhh	1.0
1998	180.0
199819	1.0
199820	1.0
19982001	1.0
19982003	1.0
19983	1.0
199839	1.0
19984	1.0
199899	1.0
1998strains	1.0
1999	231.0
19991	1.0
199915	1.0
19992000	1.0
199921	1.0
1999bin	1.0
1999federal	1.0
1999how	1.0
1999jan	1.0
199mmp60130	1.0
199v	3.0
199v199w199x199y199zm	1.0
199w	1.0
199y	2.0
199z	15.0
19fiscal	1.0
19for	1.0
19hectare	1.0
19joint	1.0
19medicares	1.0
19seat	1.0
19th	67.0
19thcentury	62.0
19the	1.0
19xx	2.0
1a	10.0
1aand	1.0
1ashows	1.0
1b	6.0
1c	2.0
1cand	1.0
1cent	1.0
1cm	1.0
1d	1.0
1day	1.0
1e	10.0
1f	2.0
1federal	2.0
1investment	1.0
1jan	1.0
1l	1.0
1pm	1.0
1q241	1.0
1s	2.0
1see	1.0
1shows	1.0
1st	4.0
1st3rd	1.0
1the	4.0
1when	1.0
1x	2.0
1year	1.0
1yearolds	2.0
2	688.0
20	305.0
200	57.0
2000	562.0
20000	11.0
200000	6.0
200000gallon	1.0
20002001	2.0
20002004	1.0
20002005	4.0
20002050	2.0
20002075	4.0
20003	1.0
200033	1.0
2000692	2.0
20007	1.0
20008	1.0
2000arrival	1.0
2000bin	1.0
2000jan	2.0
2000lb	2.0
2000lets	1.0
2000strong	1.0
2000the	2.0
2000ubl	1.0
2000yearold	3.0
2001	888.0
200105print02010508html	1.0
200119	1.0
20012002	1.0
20012006	1.0
20012010	1.0
20013	1.0
20017	1.0
20018437	1.0
2001after	1.0
2001continued	1.0
2001eta	1.0
2001recent	1.0
2001terrorist	1.0
2001violence	1.0
2002	393.0
20022006	1.0
20022011	4.0
200230014c	1.0
200230064	1.0
200230078ch	1.0
200230086ch	1.0
200240029ch	1.0
200240093h	1.0
200240094h	1.0
200240117ch	1.0
200240121ch	1.0
200240132hcx	1.0
2002conflicts	1.0
2003	718.0
200300	1.0
2003300013	1.0
200330199hc	1.0
200340044hc	2.0
200340063ch	2.0
200340071ch	1.0
2004	1326.0
2004031960minutesprintable607356shtml	1.0
200440002h	2.0
200492	2.0
2004article20040213ac40bdafc0a801ed004e5e7ac897d678storyhtml	1.0
2005	13.0
2006	3.0
2007	3.0
2008	16.0
2009	5.0
200m	1.0
200year	1.0
201	4.0
2010	36.0
20105	1.0
20108	1.0
2011	6.0
201226	2.0
2013	1.0
2015	6.0
2016	6.0
2018	9.0
2019	1.0
2019just	1.0
202	10.0
2020	15.0
202000	1.0
202001	1.0
202002	1.0
20204and	1.0
2021	4.0
2022	1.0
2024	1.0
2025	3.0
202680001	1.0
2027896861	1.0
2027896871	1.0
2029	4.0
203	3.0
2030	12.0
2032	1.0
2033	1.0
2035	6.0
2035more	1.0
2038	7.0
204	3.0
2040	9.0
2040s	2.0
2042	1.0
204208	2.0
2045	2.0
2047	2.0
205	3.0
2050	10.0
205022	1.0
205480001	1.0
2056	3.0
2057	1.0
206	4.0
2060	7.0
207	3.0
2070	2.0
2070a	1.0
2075	11.0
2075coincides	1.0
207m	1.0
208	5.0
2080	1.0
20874	1.0
209	5.0
20900	1.0
20a	1.0
20c	3.0
20day	2.0
20fold	1.0
20for	1.0
20km	2.0
20minute	6.0
20s	2.0
20since	1.0
20st	2.0
20th	34.0
20th21st	2.0
20thcentury	13.0
20year	1.0
20yearold	1.0
21	171.0
210	4.0
2100	2.0
21000	1.0
211	4.0
2110	1.0
2111	1.0
21113	1.0
2112	1.0
2113	1.0
2114	1.0
2115	1.0
2116	1.0
2117	1.0
2118	1.0
212	7.0
2120	1.0
212000	1.0
212001	1.0
212002	1.0
212004	1.0
2122	1.0
212ft	1.0
213	6.0
213020	1.0
2134	1.0
21340	1.0
214	5.0
214220	1.0
215	9.0
21529	3.0
216	5.0
217	2.0
217ft	1.0
218	3.0
2183	1.0
2185	1.0
21859	1.0
2187	1.0
218750	1.0
219	6.0
21987	1.0
219ft	1.0
21c	2.0
21cbo	1.0
21gross	1.0
21households	1.0
21km	1.0
21monthold	1.0
21st	15.0
21the	1.0
21tim	2.0
21yearold	1.0
22	196.0
220	8.0
2200	5.0
22001	1.0
22002	1.0
220ft	1.0
221	3.0
221207	1.0
22140	1.0
2215	1.0
222	4.0
2223	1.0
2224	1.0
223	4.0
223000	1.0
2231	1.0
2233	1.0
2236	1.0
224	5.0
22449	1.0
2245	1.0
2248	1.0
225	8.0
2256	1.0
2258	1.0
226	6.0
226270	1.0
226773	1.0
2268315nny280350	1.0
227	7.0
2270270	1.0
2276993	1.0
227m	1.0
228	2.0
22864	1.0
229	1.0
22c	1.0
22c172f	1.0
22composition	1.0
22figure	1.0
22for	1.0
22m	1.0
22monthold	1.0
22nd	7.0
22see	1.0
22william	1.0
23	197.0
230	6.0
2300	2.0
23000	2.0
230000	1.0
231	4.0
2310	1.0
231120	1.0
232	2.0
2324	1.0
2325	1.0
2326	1.0
2329	1.0
233	2.0
2330	1.0
2331	2.0
2337	2.0
2339b	1.0
233km	1.0
234	1.0
235	1.0
2351	4.0
236	2.0
2368	1.0
237	3.0
2374	1.0
2376	1.0
238	3.0
239	3.0
239ft	1.0
239u837824	2.0
23annamaria	1.0
23c	1.0
23international	1.0
23july	3.0
23m	2.0
23mile	1.0
23rd	1.0
23remarks	1.0
23yearold	1.0
24	209.0
240	15.0
2400	1.0
24000	1.0
24024080	1.0
240320	1.0
240ft	1.0
241	3.0
24100	1.0
2416	1.0
242	3.0
242001	1.0
242002	1.0
2428	2.0
243	2.0
2431	2.0
2432	3.0
243274	1.0
2433	2.0
2435	2.0
244	3.0
2440	2.0
24450	1.0
2448	1.0
245	4.0
2450	2.0
246	3.0
247	4.0
248	6.0
24800	1.0
24808	2.0
249	5.0
2493	1.0
24budget	1.0
24first	1.0
24ft	1.0
24km	1.0
24m	1.0
24mb	1.0
24montholds	1.0
24to	1.0
24well	3.0
25	230.0
250	17.0
2500	13.0
25000	5.0
250000	5.0
2500000	2.0
2507	1.0
2508377500	1.0
251	4.0
251940	2.0
252	3.0
252000	1.0
2525	1.0
2528	1.0
253	2.0
2530pm	1.0
2534440	1.0
2537	1.0
253ft	1.0
254	4.0
25445	1.0
25453	1.0
255	3.0
255step	1.0
256	3.0
256m	1.0
257	3.0
258	3.0
259	2.0
25acre	1.0
25august	1.0
25budget	1.0
25c	1.0
25centuryold	1.0
25for	1.0
25k50k	2.0
25km	1.0
25mer	1.0
25miles	1.0
25oct04	2.0
25pm	1.0
25th	1.0
26	131.0
260	8.0
2600	2.0
26000	1.0
260000	1.0
2604ft	1.0
261	5.0
262	3.0
262002	3.0
263	5.0
264	4.0
2648	1.0
265	2.0
26590	2.0
265a280350tp5382	1.0
265acre	1.0
265ant280350	1.0
265ant280350302	1.0
265any	11.0
265any280350	11.0
265any28035019426	1.0
265any2803502435	1.0
265any280350302	20.0
265any28035030219615	1.0
265any280350302615688	1.0
265any2803503631	1.0
265any280350at141	1.0
265any280350bn415	1.0
265any280350bn98	1.0
265any280350ce	1.0
265any280350ce624	1.0
265any280350cg	4.0
265any280350dl	2.0
265any280350fd	1.0
265any280350in	3.0
265any280350mm	6.0
265any280350mm302	2.0
265any280350mmsub	1.0
265any280350nf48	1.0
265any280350nf4851	1.0
265any280350nh	4.0
265any280350nk	6.0
265any280350out	1.0
265any280350px	3.0
265any280350ry	2.0
265any280350sd	1.0
265any280350sf	2.0
265any280350tp	5.0
265any280350tp5679	1.0
265any280350w	1.0
265any280359ry	1.0
265any280530in	1.0
265dny	1.0
265dny280350a	1.0
266	1.0
2668	1.0
266any279198	1.0
267	1.0
268	3.0
269	1.0
269232	1.0
26examples	1.0
26for	1.0
26however	1.0
26pm	1.0
27	123.0
270	4.0
27000	1.0
270000	1.0
27063	1.0
2707	1.0
271	1.0
271000	5.0
271350	1.0
272	2.0
272001	1.0
272004	1.0
2722	1.0
2728	2.0
272step	1.0
273	6.0
2737	1.0
274	3.0
2746	3.0
2749	1.0
275	3.0
276	4.0
27612	1.0
277	2.0
278	1.0
278280	1.0
279	1.0
27952	1.0
27for	1.0
27ft	1.0
27mile	1.0
27see	1.0
27while	1.0
28	158.0
280	3.0
28000	2.0
280000	1.0
280350	2.0
2803501399	1.0
280350302	4.0
28035030216752	1.0
280350302615	1.0
2803503027134	1.0
2803503029715	1.0
280350at	1.0
280350ba	1.0
280350dl	1.0
280350f	1.0
280350hq	1.0
280350nh	1.0
280350nk	1.0
280350oc	1.0
280350pr	1.0
2808	1.0
281	1.0
2812	1.0
282	4.0
282001	1.0
282004	1.0
283	1.0
2830	1.0
28398	1.0
284	2.0
285	3.0
2851	3.0
28572	2.0
286	1.0
2860	1.0
287	4.0
2870	1.0
28765	1.0
288	2.0
2880the	1.0
288km	1.0
289	3.0
28day	4.0
28hectare	1.0
28richard	1.0
28see	1.0
28the	1.0
29	191.0
290	2.0
2909	1.0
291	3.0
292	1.0
292001june	1.0
292004	2.0
293	4.0
2930	1.0
294	3.0
2941	1.0
294314	1.0
294ft	1.0
295	2.0
2950	1.0
296	3.0
29652	1.0
296mile	1.0
297	2.0
298	3.0
